id,name,email
1,Jinny,jinny@ssu.ac.kr
2,Tom,tom@test.com
3,Bob,bob@test.com
4,Alice,alice@test.com
5,Chris,chris@test.com
6,Diana,diana@test.com
7,Ethan,ethan@test.com
8,Fiona,fiona@test.com
9,George,george@test.com
10,Hannah,hannah@test.com
11,Ian,ian@test.com
12,Julia,julia@test.com
13,Kevin,kevin@test.com
14,Luna,luna@test.com
15,Mason,mason@test.com
16,Nora,nora@test.com
17,Oliver,oliver@test.com
18,Penny,penny@test.com
19,Quinn,quinn@test.com
20,Ryan,ryan@test.com
21,Sophie,sophie@test.com
22,Tyler,tyler@test.com
23,Uma,uma@test.com
24,Victor,victor@test.com
25,Wendy,wendy@test.com
26,Xander,xander@test.com
27,Yuna,yuna@test.com
28,Zane,zane@test.com
29,Minji,minji@test.com
30,Dahee,dahee@test.com
31,Hyun,hyun@test.com
32,Sora,sora@test.com
33,Leo,leo@test.com
34,Mia,mia@test.com
35,Noah,noah@test.com
36,Emma,emma@test.com
37,Jay,jay@test.com
38,Grace,grace@test.com
39,ColdStart,coldstart@test.com
40,SparseUser,sparse@test.com
41,User041,user041@test.com
42,User042,user042@test.com
43,User043,user043@test.com
44,User044,user044@test.com
45,User045,user045@test.com
46,User046,user046@test.com
47,User047,user047@test.com
48,User048,user048@test.com
49,User049,user049@test.com
50,User050,user050@test.com
51,User051,user051@test.com
52,User052,user052@test.com
53,User053,user053@test.com
54,User054,user054@test.com
55,User055,user055@test.com
56,User056,user056@test.com
57,User057,user057@test.com
58,User058,user058@test.com
59,User059,user059@test.com
60,User060,user060@test.com
61,User061,user061@test.com
62,User062,user062@test.com
63,User063,user063@test.com
64,User064,user064@test.com
65,User065,user065@test.com
66,User066,user066@test.com
67,User067,user067@test.com
68,User068,user068@test.com
69,User069,user069@test.com
70,User070,user070@test.com
71,User071,user071@test.com
72,User072,user072@test.com
73,User073,user073@test.com
74,User074,user074@test.com
75,User075,user075@test.com
76,User076,user076@test.com
77,User077,user077@test.com
78,User078,user078@test.com
79,User079,user079@test.com
80,User080,user080@test.com
81,User081,user081@test.com
82,User082,user082@test.com
83,User083,user083@test.com
84,User084,user084@test.com
85,User085,user085@test.com
86,User086,user086@test.com
87,User087,user087@test.com
88,User088,user088@test.com
89,User089,user089@test.com
90,User090,user090@test.com
91,User091,user091@test.com
92,User092,user092@test.com
93,User093,user093@test.com
94,User094,user094@test.com
95,User095,user095@test.com
96,User096,user096@test.com
97,User097,user097@test.com
98,User098,user098@test.com
99,User099,user099@test.com
100,User100,user100@test.com
101,User101,user101@test.com
102,User102,user102@test.com
103,User103,user103@test.com
104,User104,user104@test.com
105,User105,user105@test.com
106,User106,user106@test.com
107,User107,user107@test.com
108,User108,user108@test.com
109,User109,user109@test.com
110,User110,user110@test.com
111,User111,user111@test.com
112,User112,user112@test.com
113,User113,user113@test.com
114,User114,user114@test.com
115,User115,user115@test.com
116,User116,user116@test.com
117,User117,user117@test.com
118,User118,user118@test.com
119,User119,user119@test.com
120,User120,user120@test.com
121,User121,user121@test.com
122,User122,user122@test.com
123,User123,user123@test.com
124,User124,user124@test.com
125,User125,user125@test.com
126,User126,user126@test.com
127,User127,user127@test.com
128,User128,user128@test.com
129,User129,user129@test.com
130,User130,user130@test.com
131,User131,user131@test.com
132,User132,user132@test.com
133,User133,user133@test.com
134,User134,user134@test.com
135,User135,user135@test.com
136,User136,user136@test.com
137,User137,user137@test.com
138,User138,user138@test.com
139,User139,user139@test.com
140,User140,user140@test.com
141,User141,user141@test.com
142,User142,user142@test.com
143,User143,user143@test.com
144,User144,user144@test.com
145,User145,user145@test.com
146,User146,user146@test.com
147,User147,user147@test.com
148,User148,user148@test.com
149,User149,user149@test.com
150,User150,user150@test.com
151,User151,user151@test.com
152,User152,user152@test.com
153,User153,user153@test.com
154,User154,user154@test.com
155,User155,user155@test.com
156,User156,user156@test.com
157,User157,user157@test.com
158,User158,user158@test.com
159,User159,user159@test.com
160,User160,user160@test.com
161,User161,user161@test.com
162,User162,user162@test.com
163,User163,user163@test.com
164,User164,user164@test.com
165,User165,user165@test.com
166,User166,user166@test.com
167,User167,user167@test.com
168,User168,user168@test.com
169,User169,user169@test.com
170,User170,user170@test.com
171,User171,user171@test.com
172,User172,user172@test.com
173,User173,user173@test.com
174,User174,user174@test.com
175,User175,user175@test.com
176,User176,user176@test.com
177,User177,user177@test.com
178,User178,user178@test.com
179,User179,user179@test.com
180,User180,user180@test.com
181,User181,user181@test.com
182,User182,user182@test.com
183,User183,user183@test.com
184,User184,user184@test.com
185,User185,user185@test.com
186,User186,user186@test.com
187,User187,user187@test.com
188,User188,user188@test.com
189,User189,user189@test.com
190,User190,user190@test.com
191,User191,user191@test.com
192,User192,user192@test.com
193,User193,user193@test.com
194,User194,user194@test.com
195,User195,user195@test.com
196,User196,user196@test.com
197,User197,user197@test.com
198,User198,user198@test.com
199,User199,user199@test.com
200,User200,user200@test.com
